Sources,
https://www.macrotrends.net/1333/historical-gold-prices-100-year-chart,
https://onlygold.com/gold-prices/historical-gold-prices/,
Year,Gold Price Close
1792,19.39
1793,19.30
1794,19.39
1795,19.39
1796,19.39
1797,19.39
1798,19.39
1799,19.39
1800,19.39
1801,19.39
1802,19.39
1803,19.39
1804,19.39
1805,19.39
1806,19.39
1807,19.39
1808,19.39
1809,19.39
1810,19.39
1811,19.39
1812,19.39
1813,19.39
1814,21.79
1815,22.16
1816,19.84
1817,19.39
1818,19.39
1819,19.39
1820,19.39
1821,19.39
1822,19.39
1823,19.39
1824,19.39
1825,19.39
1826,19.39
1827,19.39
1828,19.39
1829,19.39
1830,19.39
1831,19.39
1832,19.39
1833,19.39
1834,20.69
1835,20.69
1836,20.69
1837,21.60
1838,20.73
1839,20.73
1840,20.73
1841,20.67
1842,20.69
1843,20.67
1844,20.67
1845,20.67
1846,20.67
1847,20.67
1848,20.67
1849,20.67
1850,20.67
1851,20.67
1852,20.67
1853,20.67
1854,20.67
1855,20.67
1856,20.67
1857,20.71
1858,20.67
1859,20.67
1860,20.67
1861,20.67
1862,27.35
1863,31.23
1864,47.02
1865,30.22
1866,28.26
1867,27.86
1868,27.95
1869,25.11
1870,22.88
1871,22.59
1872,23.19
1873,22.74
1874,23.09
1875,23.54
1876,22.30
1877,21.25
1878,20.69
1879,20.67
1880,20.67
1881,20.67
1882,20.67
1883,20.67
1884,20.67
1885,20.67
1886,20.67
1887,20.67
1888,20.67
1889,20.67
1890,20.67
1891,20.67
1892,20.67
1893,20.67
1894,20.67
1895,20.67
1896,20.67
1897,20.67
1898,20.67
1899,20.67
1900,20.67
1901,20.67
1902,20.67
1903,20.67
1904,20.67
1905,20.67
1906,20.67
1907,20.67
1908,20.67
1909,20.67
1910,20.67
1911,20.67
1912,20.67
1913,20.67
1914,20.67
1915,20.67
1916,20.67
1917,20.67
1918,20.67
1919,20.67
1920,20.67
1921,20.67
1922,20.67
1923,20.67
1924,20.67
1925,20.67
1926,20.67
1927,20.67
1928,20.67
1929,20.67
1930,20.67
1931,20.67
1932,20.67
1933,32.32
1934,35.00
1935,35.00
1936,35.00
1937,35.00
1938,35.00
1939,35.00
1940,34.50
1941,35.50
1942,35.50
1943,36.50
1944,36.25
1945,37.25
1946,38.25
1947,43.00
1948,42.00
1949,40.50
1950,40.25
1951,40.00
1952,38.70
1953,35.50
1954,35.25
1955,35.15
1956,35.20
1957,35.25
1958,35.25
1959,35.25
1960,36.50
1961,35.50
1962,35.35
1963,35.25
1964,35.35
1965,35.50
1966,35.40
1967,35.50
1968,43.50
1969,41.00
1970,38.90
1971,44.60
1972,63.84
1973,106.48
1974,183.77
1975,139.29
1976,133.77
1977,161.10
1978,208.10
1979,459.00
1980,594.90
1981,400.00
1982,447.00
1983,380.00
1984,308.00
1985,327.00
1986,390.90
1987,486.50
1988,410.15
1989,401.00
1990,386.20
1991,353.15
1992,333.00
1993,391.75
1994,383.25
1995,387.00
1996,369.00
1997,287.05
1998,288.70
1999,290.25
2000,272.65
2001,276.50
2002,342.75
2003,417.25
2004,435.60
2005,513.00
2006,635.70
2007,836.50
2008,869.75
2009,1087.50
2010,1420.25
2011,1531.00
2012,1664.00
2013,1204.50
2014,1199.25
2015,1060.00
2016,1151.70
2017,1296.50
2018,1281.65
2019,1523.00
2020,1895.10
2021,1828.60
