Sources,
https://fiscaldata.treasury.gov/datasets/historical-debt-outstanding/historical-debt-outstanding,
Year,Debt
1790,71060508.50
1791,75463476.52
1792,77227924.66
1793,80358634.04
1794,78427404.77
1795,80747587.39
1796,83762172.07
1797,82064479.33
1798,79228529.12
1799,78408669.77
1800,82976294.35
1801,83038050.80
1802,80712632.25
1803,77054686.40
1804,86427120.88
1805,82312150.50
1806,75723270.66
1807,69218398.64
1808,65196317.97
1809,57023192.09
1810,53173217.52
1811,48005587.76
1812,45209737.90
1813,55962827.57
1814,81487846.24
1815,99833660.15
1816,127334933.74
1817,123491965.16
1818,103466633.83
1819,95529648.28
1820,91015566.15
1821,89987427.66
1822,93546676.98
1823,90875877.28
1824,90269777.77
1825,83788432.71
1826,81054059.99
1827,73987357.20
1828,67475043.87
1829,58421413.67
1830,48565406.50
1831,39123191.68
1832,24322235.18
1833,7001698.83
1834,4760082.08
1835,33733.05
1836,37513.05
1837,336957.83
1838,3308124.07
1839,10434221.14
1840,3573343.82
1841,5250875.54
1842,13594480.73
1843,20201226.27
1844,23461652.50
1845,15925303.01
1846,15550202.97
1847,38826534.77
1848,47044862.23
1849,63061858.69
1850,63452773.55
1851,68304796.02
1852,66199341.71
1853,59803117.70
1854,42242222.42
1855,35586956.56
1856,31972537.90
1857,28699831.85
1858,44911881.03
1859,58496837.88
1860,64842287.88
1861,90580873.72
1862,524176412.13
1863,1119772138.63
1864,1815784370.57
1865,2680647869.74
1866,2773236173.69
1867,2678126103.87
1868,2611687851.19
1869,2588452213.94
1870,2480672427.81
1871,2353211332.32
1872,2253251328.78
1873,2234482993.20
1874,2251690468.43
1875,2232284531.95
1876,2180395067.15
1877,2205301392.10
1878,2256205892.53
1879,2349567482.04
1880,2120415370.63
1881,2069013569.58
1882,1918312994.03
1883,1884171728.07
1884,1830528923.57
1885,1863964873.14
1886,1775063013.78
1887,1657602592.63
1888,1692858984.58
1889,1619052922.23
1890,1552140204.73
1891,1545996591.61
1892,1588464144.63
1893,1545985686.13
1894,1632253636.68
1895,1676120983.25
1896,1769840323.40
1897,1817672665.90
1898,1796531995.90
1899,1991927306.92
1900,2136961091.67
1901,2143326933.89
1902,2158610445.89
1903,2202464781.89
1904,2264003585.14
1905,2274615063.84
1906,2337161839.04
1907,2457188061.54
1908,2626806271.54
1909,2639546241.04
1910,2652665838.04
1911,2765600606.69
1912,2868373874.16
1913,2916204913.66
1914,2912499269.16
1915,3058136873.16
1916,3609244262.16
1917,5717770279.52
1918,14592161414.00
1919,27390970113.12
1920,25952456406.16
1921,23977450552.54
1922,22963381708.31
1923,22349707365.36
1924,21250812989.49
1925,20516193887.90
1926,19643216315.19
1927,18511906931.85
1928,17604293201.43
1929,16931088484.10
1930,16185309831.43
1931,16801281491.71
1932,19487002444.13
1933,22538672560.15
1934,27053141414.48
1935,28700892624.53
1936,33778543493.73
1937,36424613732.29
1938,37164740315.45
1939,40439532411.11
1940,42967531037.68
1941,48961443535.71
1942,72422445116.22
1943,136696090329.90
1944,201003387221.13
1945,258682187409.93
1946,269422099173.26
1947,258286383108.67
1948,252292246512.99
1949,252770359860.33
1950,257357352351.04
1951,255221976814.93
1952,259105178785.43
1953,266071061638.57
1954,271259599108.46
1955,274374222802.62
1956,272750813649.32
1957,270527171896.43
1958,276343217745.81
1959,284705907078.22
1960,286330760848.37
1961,288970938610.05
1962,298200822720.87
1963,305859632996.41
1964,311712899257.30
1965,317273898983.64
1966,319907087795.48
1967,326220937794.54
1968,347578406425.88
1969,353720253841.41
1970,370918706949.93
1971,398129744455.54
1972,427260460940.50
1973,458141605312.09
1974,475059815731.55
1975,533189000000.00
1976,620433000000.00
1977,698840000000.00
1978,771544000000.00
1979,826519000000.00
1980,907701000000.00
1981,997855000000.00
1982,1142034000000.00
1983,1377210000000.00
1984,1572266000000.00
1985,1823103000000.00
1986,2125302616658.42
1987,2350276890953.00
1988,2602337712041.16
1989,2857430960187.32
1990,3233313451777.25
1991,3665303351697.03
1992,4064620655521.66
1993,4411488883139.38
1994,4692749910013.32
1995,4973982900709.39
1996,5224810939135.73
1997,5413146011397.34
1998,5526193008897.62
1999,5656270901615.43
2000,5674178209886.86
2001,5807463412200.06
2002,6228235965597.16
2003,6783231062743.62
2004,7379052696330.32
2005,7932709661723.50
2006,8506973899215.23
2007,9007653372262.48
2008,10024724896912.50
2009,11909829003511.80
2010,13561623030891.80
2011,14790340328557.20
2012,16066241407385.90
2013,16738183526697.30
2014,17824071380733.80
2015,18150617666484.30
2016,19573444713936.80
2017,20244900016053.50
2018,21516058183180.20
2019,22719401753433.80
2020,26945391194615.10
2021,28428918570048.70
