Sources,
https://www.macrotrends.net/countries/USA/united-states/gni-gross-national-income,
https://data.worldbank.org/indicator/ny.gnp.mktp.cd?locations=US,
Year,US GNI (billions of US $)
1962,612.18
1963,646.23
1964,692.33
1965,753.29
1966,824.18
1967,868.3
1968,952.03
1969,1027.99
1970,1071.99
1971,1167.23
1972,1317.55
1973,1544.67
1974,1707.5
1975,1837.62
1976,1954.02
1977,2112.84
1978,2395.6
1979,2745.65
1980,3041.38
1981,3295.8
1982,3293.71
1983,3405.71
1984,3821.67
1985,4154.71
1986,4588.12
1987,5183.37
1988,5744.11
1989,5866.29
1990,6006.22
1991,6140.66
1992,6587.04
1993,6858.47
1994,7276.74
1995,7731.98
1996,8154.32
1997,8527
1998,8835.77
1999,9394.49
2000,10147.42
2001,10462.2
2002,10732.73
2003,11536.23
2004,12740.79
2005,13648.86
2006,14284.92
2007,14608.6
2008,14895.02
2009,14645.98
2010,15155.24
2011,15760.43
2012,16558.98
2013,17045.59
2014,17778.92
2015,18200.1
2016,18503.59
2017,19332.4
2018,20758.6
2019,21640.51
2020,21286.64
